Plan;Identificacion;Nombres;Inicio Vigencia;Fin Vigencia; Suma Asegurada ;Tipo Objeto;Uso Bien;Actividad;Tipo Material;Descripción;Pais;Provincia;Distrito;Corregimiento;Barriada;Edificio
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;47,684.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20201;0;8080811
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;47,539.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20201;0;8080811
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;47,394.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20201;0;8080812
1_10;111223-1111;Juan Carlos Perez Gomez;1/9/2025;1/9/2026;47,249.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20201;0;8080812
1_10;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;47,105.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20204;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;46,960.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20204;0;1
1_17;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;46,815.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20204;0;2
1_17;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;46,670.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20204;0;2
1_17;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;46,526.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080770
1_17;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;46,381.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080770
1_17;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;46,236.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080775
1_17;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;46,091.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080775
1_17;111223-1112;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;50,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080776
1_17;04-0004-00380;LUIS JARAMILLO;7/9/2025;7/9/2026;49,855.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080776
1_17;04-0004-00380;LUIS JARAMILLO;7/9/2025;7/9/2026;49,710.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080777
1_17;04-0004-00380;LUIS JARAMILLO;7/9/2025;7/9/2026;49,565.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080777
1_17;04-0004-00380;LUIS JARAMILLO;7/9/2025;7/9/2026;49,421.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080778
1_17;04-0004-00380;LUIS JARAMILLO;7/9/2025;7/9/2026;49,276.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080778
1_17;04-0004-00380;LUIS JARAMILLO;7/9/2025;7/9/2026;49,131.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080779
1_17;04-0004-00380;LUIS JARAMILLO;7/9/2025;7/9/2026;48,986.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080779
1_9;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;50,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080780
1_9;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;49,855.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080780
1_9;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;49,710.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080781
1_9;111223-1111;Juan Carlos Perez Gomez;7/9/2025;7/9/2026;49,565.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080781
1_9;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;49,421.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080782
1_9;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;49,276.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080782
1_9;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;49,131.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080783
1_9;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;48,986.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080783
1_9;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;48,842.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080784
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;48,697.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080784
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;48,552.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080785
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;48,407.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080785
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;48,263.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080786
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;48,118.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080786
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;47,973.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080787
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;47,828.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080787
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;47,684.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080788
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;47,539.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080788
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;47,394.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080789
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;47,249.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080789
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;47,105.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080790
1_10;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;46,960.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080790
1_17;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;46,815.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080791
1_17;111223-1111;Juan Carlos Perez Gomez;14/9/2025;14/9/2026;46,670.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080791
1_17;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;46,526.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080792
1_17;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;46,381.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080792
1_17;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;46,236.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080793
1_17;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;46,091.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080793
1_17;111223-1112;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;50,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080794
1_17;04-0004-00380;LUIS JARAMILLO;21/9/2025;21/9/2026;49,855.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080794
1_17;04-0004-00380;LUIS JARAMILLO;21/9/2025;21/9/2026;49,710.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080795
1_17;04-0004-00380;LUIS JARAMILLO;21/9/2025;21/9/2026;49,565.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;202;20208;0;8080795
1_17;04-0004-00380;LUIS JARAMILLO;21/9/2025;21/9/2026;49,421.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20201;0;8080792
1_17;04-0004-00380;LUIS JARAMILLO;21/9/2025;21/9/2026;49,276.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20201;0;8080792
1_17;04-0004-00380;LUIS JARAMILLO;21/9/2025;21/9/2026;49,131.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080554
1_17;04-0004-00380;LUIS JARAMILLO;21/9/2025;21/9/2026;48,986.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080554
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;50,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080555
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;49,855.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080555
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;49,710.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080556
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;49,565.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080556
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;49,421.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080557
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;49,276.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080557
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;49,131.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080558
1_9;111223-1111;Juan Carlos Perez Gomez;21/9/2025;21/9/2026;48,986.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;20606;0;8080558
1_9;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;48,842.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;120150;0;8080841
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;48,697.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;120150;0;8080841
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;48,552.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;120150;0;8080842
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;48,407.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;120150;0;8080842
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;48,263.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;120167;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;48,118.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;2;206;120167;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;47,973.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30201;0;8080228
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;47,828.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30201;0;8080228
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;47,684.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30202;0;8080229
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;47,539.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30202;0;8080229
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;47,394.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30204;0;8080374
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;47,249.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30204;0;8080374
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;47,105.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30206;0;8080381
1_10;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;46,960.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30206;0;8080381
1_17;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;46,815.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30206;0;8080382
1_17;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;46,670.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30206;0;8080382
1_17;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;46,526.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30206;0;8080383
1_17;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;46,381.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30206;0;8080383
1_17;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;46,236.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30211;0;1
1_17;111223-1111;Juan Carlos Perez Gomez;28/9/2025;28/9/2026;46,091.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;302;30211;0;1
1_17;111223-1112;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;50,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;1
1_17;04-0004-00380;LUIS JARAMILLO;1/10/2025;1/10/2026;49,855.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;1
1_17;04-0004-00380;LUIS JARAMILLO;1/10/2025;1/10/2026;49,710.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;2
1_17;04-0004-00380;LUIS JARAMILLO;1/10/2025;1/10/2026;49,565.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;2
1_17;04-0004-00380;LUIS JARAMILLO;1/10/2025;1/10/2026;49,421.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;3
1_17;04-0004-00380;LUIS JARAMILLO;1/10/2025;1/10/2026;49,276.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;3
1_17;04-0004-00380;LUIS JARAMILLO;1/10/2025;1/10/2026;49,131.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;4
1_17;04-0004-00380;LUIS JARAMILLO;1/10/2025;1/10/2026;48,986.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;3;304;30404;0;4
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;50,000.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;401;40104;0;1
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;49,855.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;401;40104;0;1
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;49,710.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;404;40401;0;8080840
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;49,565.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;404;40401;0;8080840
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;49,421.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;404;40402;0;8080364
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;49,276.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;404;40402;0;8080364
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;49,131.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;404;40402;0;8080839
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;48,986.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;404;40402;0;8080839
1_9;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;48,842.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;40501;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;48,697.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;40501;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;48,552.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;40501;0;2
1_10;111223-1111;Juan Carlos Perez Gomez;1/10/2025;1/10/2026;48,407.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;40501;0;2
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;48,263.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;40502;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;48,118.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;40502;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;47,973.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;120124;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;47,828.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;405;120124;0;1
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;47,684.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;406;40602;0;8080365
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;47,539.25;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;406;40602;0;8080365
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;47,394.50;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;406;40602;0;8080832
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;47,249.75;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;406;40602;0;8080832
1_10;111223-1111;Juan Carlos Perez Gomez;7/10/2025;7/10/2026;47,105.00;EDIFICIO;1;0-VIVIENDAS;CONCRETO_REF;Prueba 1 (Carga Masiva);591;4;406;40602;0;8080833
